capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
42.372,34.050,Athletico Paranaense,1,48,20,8,3,10,7,18,2,Atlético Mineiro,2,52,10,4,10,2,15,8,1,2021,final - jogo de volta
60.326,9.518,Fortaleza EC,1,60,12,6,2,6,18,21,2,Atlético Mineiro,2,40,6,1,2,3,19,20,1,2021,semifinais - Jogos de volta
42.372,9.896,Athletico Paranaense,2,39,8,3,3,3,12,17,5,CR Flamengo,2,61,16,6,1,7,17,12,3,2021,Semifinais - Jogos de ida
57.018,18.642,Atlético Mineiro,4,44,21,7,3,6,14,9,2,Fortaleza EC,0,56,8,3,5,7,9,14,2,2021,Semifinais - Jogos de ida
20.120,0,Santos FC,0,57,19,7,4,5,20,7,2,Athletico Paranaense,1,43,13,5,7,5,5,22,1,2021,quartas de final - Jogos de volta
57.018,0,Atlético Mineiro,1,60,14,6,1,2,11,15,1,Fluminense FC,0,40,10,5,4,5,15,12,0,2021,quartas de final - Jogos de volta
78.838,0,CR Flamengo,2,64,16,9,3,4,16,13,0,Grêmio FBPA,0,36,10,4,2,4,12,18,0,2021,quartas de final - Jogos de volta
,0,Fortaleza EC,3,37,14,5,2,6,11,9,3,São Paulo FC,1,63,9,4,2,5,9,13,1,2021,quartas de final - Jogos de volta
42.372,0,Athletico Paranaense,1,38,16,8,2,9,9,18,2,Santos FC,0,62,15,5,4,8,17,10,0,2021,Quartas de final - Jogos de ida
60.540,0,Grêmio FBPA,0,56,16,11,3,4,15,12,1,CR Flamengo,4,44,11,4,1,3,12,16,0,2021,Quartas de final - Jogos de ida
72.039,0,São Paulo FC,2,52,11,4,4,2,8,15,2,Fortaleza EC,2,48,13,6,4,5,15,11,3,2021,Quartas de final - Jogos de ida
82.238,0,Fluminense FC,1,53,7,3,1,5,18,12,1,Atlético Mineiro,2,47,9,5,2,4,11,18,6,2021,Quartas de final - Jogos de ida
82.238,0,Fluminense FC,3,54,7,3,1,4,27,23,0,Criciúma EC,0,46,7,4,1,3,22,27,1,2021,Oitavas de final - Jogos de volta
60.540,0,Grêmio FBPA,1,65,12,2,0,10,8,17,3,EC Vitória,0,35,7,4,7,2,16,10,0,2021,Oitavas de final - Jogos de volta
20.000,0,CRB,0,52,6,3,7,3,18,21,2,Fortaleza EC,1,48,14,4,1,1,21,18,1,2021,Oitavas de final - Jogos de volta
13.000,0,Atlético Goianiense,2,60,14,4,1,10,20,15,1,Athletico Paranaense,2,40,11,4,2,3,15,20,3,2021,Oitavas de final - Jogos de volta
,0,CR Vasco da Gama,1,33,7,2,5,2,14,15,0,São Paulo FC,2,67,19,6,2,6,14,16,1,2021,Oitavas de final - Jogos de volta
47.364,0,EC Bahia,2,47,16,8,1,5,14,14,0,Atlético Mineiro,1,53,9,6,5,3,13,15,0,2021,Oitavas de final - Jogos de volta
5.018,0,SD Juazeirense,2,40,7,2,1,4,18,24,2,Santos FC,0,60,11,7,1,10,23,19,0,2021,Oitavas de final - Jogos de volta
31.017,0,ABC FC,0,29,6,4,7,3,13,16,4,CR Flamengo,1,71,13,5,0,7,16,13,1,2021,Oitavas de final - Jogos de volta
22.000,0,Criciúma EC,2,32,9,3,2,2,15,17,2,Fluminense FC,1,68,11,4,2,3,17,16,1,2021,Oitavas de final - Jogos de ida
35.632,0,EC Vitória,0,45,9,4,3,4,7,9,0,Grêmio FBPA,3,55,20,8,2,7,9,7,1,2021,Oitavas de final - Jogos de ida
42.372,0,Athletico Paranaense,2,55,16,5,1,6,10,15,2,Atlético Goianiense,1,45,14,9,6,0,15,10,0,2021,Oitavas de final - Jogos de ida
20.120,0,Santos FC,4,80,25,9,1,11,11,16,3,SD Juazeirense,0,20,8,5,9,1,16,12,2,2021,Oitavas de final - Jogos de ida
72.039,0,São Paulo FC,2,49,18,5,3,9,12,20,1,CR Vasco da Gama,0,51,16,8,6,4,17,13,1,2021,Oitavas de final - Jogos de ida
23.018,0,Atlético Mineiro,2,64,16,4,7,5,12,15,1,EC Bahia,0,36,18,7,6,6,13,13,2,2021,Oitavas de final - Jogos de ida
60.326,0,Fortaleza EC,2,64,24,11,0,3,9,12,1,CRB,1,36,6,3,4,0,12,12,0,2021,Oitavas de final - Jogos de ida
78.838,0,CR Flamengo,6,75,22,10,0,4,17,8,1,ABC FC,0,25,1,1,4,2,8,18,1,2021,Oitavas de final - Jogos de ida
